id,input,output
1,"2024年第四季度，公司各部门业绩情况如下：销售部营收850万元，技术部营收620万元，市场部营收580万元，人事部支出200万元，财务部支出150万元。请用柱状图对比各部门的业绩表现。","[{""type"":""chart"",""chartId"":""chart_1"",""subtype"":""bar"",""title"":""2024年Q4各部门业绩对比（万元）"",""data"":{""销售部"":850,""技术部"":620,""市场部"":580,""人事部"":200,""财务部"":150}}]"
2,"本季度投诉分类变化量排名前5位的是：信用卡其他958件，代销基金188件，骚扰短信127件，抵押E贷-分行23件，外汇宝下降100件。请生成柱状图。","[{""type"":""chart"",""chartId"":""chart_2"",""subtype"":""bar"",""title"":""投诉分类变化量前5项（件）"",""data"":{""信用卡其他"":958,""代销基金"":188,""骚扰短信"":127,""抵押E贷-分行"":23,""外汇宝"":-100}}]"
3,"过去6个月的销售额分别为：1月224万、2月268万、3月307万、4月221万、5月345万、6月390万。请用折线图展示趋势。","[{""type"":""chart"",""chartId"":""chart_3"",""subtype"":""line"",""title"":""月度销售额趋势（万元）"",""data"":{""1月"":224,""2月"":268,""3月"":307,""4月"":221,""5月"":345,""6月"":390}}]"
4,"电商平台各品类销售占比：服装35%、电子产品28%、食品饮料18%、家居用品12%、其他7%。请用饼图展示。","[{""type"":""chart"",""chartId"":""chart_4"",""subtype"":""pie"",""title"":""电商平台各品类销售占比"",""data"":{""服装"":35,""电子产品"":28,""食品饮料"":18,""家居用品"":12,""其他"":7}}]"
5,"5个城市的温度与湿度数据：北京（温度15°C、湿度40%）、上海（温度18°C、湿度65%）、广州（温度25°C、湿度80%）、成都（温度16°C、湿度70%）、哈尔滨（温度5°C、湿度35%）。请用散点图分析温度与湿度的关系。","[{""type"":""chart"",""chartId"":""chart_5"",""subtype"":""scatter"",""title"":""城市温度与湿度关系"",""data"":{""北京(15°C,40%)"":40,""上海(18°C,65%)"":65,""广州(25°C,80%)"":80,""成都(16°C,70%)"":70,""哈尔滨(5°C,35%)"":35}}]"
6,"2024年各月用户注册量：1月1200人、2月980人、3月1500人、4月1800人、5月2100人、6月1950人、7月2400人、8月2800人、9月2600人、10月3100人、11月3500人、12月4200人。请生成折线图展示全年趋势。","[{""type"":""chart"",""chartId"":""chart_6"",""subtype"":""line"",""title"":""2024年月度用户注册量（人）"",""data"":{""1月"":1200,""2月"":980,""3月"":1500,""4月"":1800,""5月"":2100,""6月"":1950,""7月"":2400,""8月"":2800,""9月"":2600,""10月"":3100,""11月"":3500,""12月"":4200}}]"
7,"各区域季度销售额：华东区3200万、华南区2800万、华北区2100万、西南区1500万、华中区1800万、西北区900万、东北区1100万。请用柱状图展示各区域销售情况。","[{""type"":""chart"",""chartId"":""chart_7"",""subtype"":""bar"",""title"":""各区域季度销售额（万元）"",""data"":{""华东区"":3200,""华南区"":2800,""华北区"":2100,""华中区"":1800,""西南区"":1500,""东北区"":1100,""西北区"":900}}]"
8,"公司员工学历分布：博士50人、硕士320人、本科850人、大专280人、其他100人。请用饼图展示学历构成。","[{""type"":""chart"",""chartId"":""chart_8"",""subtype"":""pie"",""title"":""公司员工学历分布（人）"",""data"":{""博士"":50,""硕士"":320,""本科"":850,""大专"":280,""其他"":100}}]"
9,"本周服务器CPU使用率（%）：周一62、周二58、周三75、周四80、周五72、周六45、周日40。请用折线图展示。","[{""type"":""chart"",""chartId"":""chart_9"",""subtype"":""line"",""title"":""本周服务器CPU使用率（%）"",""data"":{""周一"":62,""周二"":58,""周三"":75,""周四"":80,""周五"":72,""周六"":45,""周日"":40}}]"
10,"三种产品的月销量对比：产品A从1月到6月分别为120、135、148、162、155、170件；产品B分别为80、95、88、102、110、125件；产品C分别为200、185、210、198、220、235件。请分别用折线图和柱状图展示。","[{""type"":""chart"",""chartId"":""chart_10a"",""subtype"":""line"",""title"":""三种产品月销量趋势（件）"",""data"":{""产品A-6月"":170,""产品B-6月"":125,""产品C-6月"":235}},{""type"":""chart"",""chartId"":""chart_10b"",""subtype"":""bar"",""title"":""三种产品6月销量对比（件）"",""data"":{""产品A"":170,""产品B"":125,""产品C"":235}}]"
