id,input,output
1,"华东区上半年总销售额达3.2亿元，华南区为2.8亿元，华北区2.1亿元，华中区1.8亿元，西南区1.5亿元，东北区1.1亿元，西北区0.9亿元。其中华东区的销售成本为1.6亿元，华南区1.5亿元，华北区1.2亿元，华中区1.1亿元，西南区0.9亿元，东北区0.7亿元，西北区0.6亿元。","[{""type"":""chart"",""chartId"":""chart_c1a"",""subtype"":""bar"",""title"":""各区域上半年总销售额（亿元）"",""data"":{""华东区"":3.2,""华南区"":2.8,""华北区"":2.1,""华中区"":1.8,""西南区"":1.5,""东北区"":1.1,""西北区"":0.9}},{""type"":""chart"",""chartId"":""chart_c1b"",""subtype"":""bar"",""title"":""各区域上半年销售成本（亿元）"",""data"":{""华东区"":1.6,""华南区"":1.5,""华北区"":1.2,""华中区"":1.1,""西南区"":0.9,""东北区"":0.7,""西北区"":0.6}}]"
2,"一季度公司总营收5000万元，利润800万元；二季度总营收6200万元，利润1100万元；三季度总营收5800万元，利润950万元；四季度总营收7500万元，利润1500万元。与去年同期相比，一季度营收4200万元利润650万元，二季度营收5500万元利润900万元，三季度营收5100万元利润780万元，四季度营收6800万元利润1200万元。","[{""type"":""chart"",""chartId"":""chart_c2a"",""subtype"":""bar"",""title"":""今年各季度营收与利润对比（万元）"",""data"":{""Q1营收"":5000,""Q1利润"":800,""Q2营收"":6200,""Q2利润"":1100,""Q3营收"":5800,""Q3利润"":950,""Q4营收"":7500,""Q4利润"":1500}},{""type"":""chart"",""chartId"":""chart_c2b"",""subtype"":""bar"",""title"":""去年同期各季度营收与利润对比（万元）"",""data"":{""Q1营收"":4200,""Q1利润"":650,""Q2营收"":5500,""Q2利润"":900,""Q3营收"":5100,""Q3利润"":780,""Q4营收"":6800,""Q4利润"":1200}}]"
3,"公司现有员工1600人，其中男性880人女性720人。按部门看，技术部450人、销售部320人、产品部180人、运营部200人、行政部150人、人力资源部100人、财务部80人、市场部120人。各部门男性人数分别为260、200、95、110、60、40、30、85人。","[{""type"":""chart"",""chartId"":""chart_c3a"",""subtype"":""pie"",""title"":""公司员工性别分布（人）"",""data"":{""男性"":880,""女性"":720}},{""type"":""chart"",""chartId"":""chart_c3b"",""subtype"":""bar"",""title"":""各部门员工总人数（人）"",""data"":{""技术部"":450,""销售部"":320,""运营部"":200,""产品部"":180,""行政部"":150,""市场部"":120,""人力资源部"":100,""财务部"":80}}]"
4,"2024年1到6月新增用户数分别为1200、980、1500、1800、2100、1950人，同期流失用户数为320、280、350、420、380、310人。7到12月新增用户数为2400、2800、2600、3100、3500、4200人，流失用户数为450、520、480、550、600、680人。","[{""type"":""chart"",""chartId"":""chart_c4a"",""subtype"":""line"",""title"":""2024年各月新增用户数（人）"",""data"":{""1月"":1200,""2月"":980,""3月"":1500,""4月"":1800,""5月"":2100,""6月"":1950,""7月"":2400,""8月"":2800,""9月"":2600,""10月"":3100,""11月"":3500,""12月"":4200}},{""type"":""chart"",""chartId"":""chart_c4b"",""subtype"":""line"",""title"":""2024年各月流失用户数（人）"",""data"":{""1月"":320,""2月"":280,""3月"":350,""4月"":420,""5月"":380,""6月"":310,""7月"":450,""8月"":520,""9月"":480,""10月"":550,""11月"":600,""12月"":680}}]"
5,"全国主要城市2024年GDP：上海4.72万亿、北京4.38万亿、深圳3.46万亿、重庆3.01万亿、广州3.04万亿、苏州2.47万亿、成都2.21万亿、杭州2.00万亿。同年这些城市的人口规模分别为2487万、2188万、1779万、3212万、1887万、1295万、2126万、1237万人。","[{""type"":""chart"",""chartId"":""chart_c5a"",""subtype"":""bar"",""title"":""2024年主要城市GDP（万亿元）"",""data"":{""上海"":4.72,""北京"":4.38,""深圳"":3.46,""重庆"":3.01,""广州"":3.04,""苏州"":2.47,""成都"":2.21,""杭州"":2.00}},{""type"":""chart"",""chartId"":""chart_c5b"",""subtype"":""bar"",""title"":""2024年主要城市常住人口（万人）"",""data"":{""上海"":2487,""北京"":2188,""重庆"":3212,""广州"":1887,""成都"":2126,""深圳"":1779,""苏州"":1295,""杭州"":1237}}]"
6,"A产品线2023年收入8.5亿成本6.2亿毛利2.3亿，2024年收入9.8亿成本7.0亿毛利2.8亿。B产品线2023年收入5.2亿成本4.1亿毛利1.1亿，2024年收入6.5亿成本5.0亿毛利1.5亿。C产品线2023年收入3.8亿成本2.9亿毛利0.9亿，2024年收入4.2亿成本3.1亿毛利1.1亿。","[{""type"":""chart"",""chartId"":""chart_c6a"",""subtype"":""bar"",""title"":""各产品线2023与2024年收入对比（亿元）"",""data"":{""A产品-2023"":8.5,""A产品-2024"":9.8,""B产品-2023"":5.2,""B产品-2024"":6.5,""C产品-2023"":3.8,""C产品-2024"":4.2}},{""type"":""chart"",""chartId"":""chart_c6b"",""subtype"":""bar"",""title"":""各产品线2023与2024年毛利对比（亿元）"",""data"":{""A产品-2023"":2.3,""A产品-2024"":2.8,""B产品-2023"":1.1,""B产品-2024"":1.5,""C产品-2023"":0.9,""C产品-2024"":1.1}}]"
7,"公司2024年度总支出中，员工薪资占42%约5460万元，营销推广占18%约2340万元，研发投入占22%约2860万元，办公及行政占8%约1040万元，其他占10%约1300万元。研发投入中人员薪酬占55%约1573万元，设备采购占20%约572万元，外包服务占15%约429万元，其他占10%约286万元。","[{""type"":""chart"",""chartId"":""chart_c7a"",""subtype"":""pie"",""title"":""公司2024年度支出构成（万元）"",""data"":{""员工薪资"":5460,""研发投入"":2860,""营销推广"":2340,""其他"":1300,""办公及行政"":1040}},{""type"":""chart"",""chartId"":""chart_c7b"",""subtype"":""pie"",""title"":""研发投入细分构成（万元）"",""data"":{""人员薪酬"":1573,""设备采购"":572,""外包服务"":429,""其他"":286}}]"
8,"周一到周五上午9点到10点的进店客流分别为320、280、350、410、380人，同时段线上访问量分别为5200、4800、5500、6200、5800次。下午2点到3点进店客流分别为180、150、200、220、190人，线上访问量分别为3800、3500、4100、4500、3900次。","[{""type"":""chart"",""chartId"":""chart_c8a"",""subtype"":""bar"",""title"":""周一至周五上午9-10点进店客流（人）"",""data"":{""周一"":320,""周二"":280,""周三"":350,""周四"":410,""周五"":380}},{""type"":""chart"",""chartId"":""chart_c8b"",""subtype"":""bar"",""title"":""周一至周五上午9-10点线上访问量（次）"",""data"":{""周一"":5200,""周二"":4800,""周三"":5500,""周四"":6200,""周五"":5800}}]"
9,"小学阶段学生近视率为36%、初中阶段为59%、高中阶段为78%、大学阶段为86%。与此同时，小学阶段学生肥胖率为18%、初中阶段为22%、高中阶段为20%、大学阶段为15%。另外小学龋齿率为45%，初中为32%，高中为25%，大学为18%。","[{""type"":""chart"",""chartId"":""chart_c9a"",""subtype"":""line"",""title"":""各学段学生近视率（%）"",""data"":{""小学"":36,""初中"":59,""高中"":78,""大学"":86}},{""type"":""chart"",""chartId"":""chart_c9b"",""subtype"":""line"",""title"":""各学段学生肥胖率（%）"",""data"":{""小学"":18,""初中"":22,""高中"":20,""大学"":15}}]"
10,"甲品牌手机在一线城市售价5999元月销8万台，二线城市售价5799元月销12万台，三线城市售价5499元月销15万台。乙品牌手机在一线城市售价4299元月销6万台，二线城市售价4099元月销10万台，三线城市售价3899元月销13万台。丙品牌手机在一线城市售价3299元月销4万台，二线城市售价3099元月销7万台，三线城市售价2899元月销9万台。","[{""type"":""chart"",""chartId"":""chart_c10a"",""subtype"":""bar"",""title"":""三品牌手机各线城市月销量（万台）"",""data"":{""甲品牌-一线"":8,""甲品牌-二线"":12,""甲品牌-三线"":15,""乙品牌-一线"":6,""乙品牌-二线"":10,""乙品牌-三线"":13,""丙品牌-一线"":4,""丙品牌-二线"":7,""丙品牌-三线"":9}},{""type"":""chart"",""chartId"":""chart_c10b"",""subtype"":""bar"",""title"":""三品牌手机各线城市售价（元）"",""data"":{""甲品牌-一线"":5999,""甲品牌-二线"":5799,""甲品牌-三线"":5499,""乙品牌-一线"":4299,""乙品牌-二线"":4099,""乙品牌-三线"":3899,""丙品牌-一线"":3299,""丙品牌-二线"":3099,""丙品牌-三线"":2899}}]"
